name,brand,description,image_url
"Lastra Forata Cleaneo SK 8/18 R 12,5",Knauf,Lastra in gesso rivestito forata ad azione fonoassorbente con effetto di depurazione dell’aria,/images/knauf_prodotti/LastraForataCleaneoSK818R125.webp
Lastra GKB (A) 15 mm,Knauf,Lastra in gesso rivestito standard,/images/knauf_prodotti/LastraGKBA15mm.webp
Lastra GKB (A) 18 mm,Knauf,Lastra standard in gesso rivestito,/images/knauf_prodotti/LastraGKBA18mm.webp
"Lastra GKB (A) 9,5 mm",Knauf,Lastra in gesso rivestito standard,/images/knauf_prodotti/LastraGKBA95mm.webp
Lastra GKB HD 18 mm,Knauf,Lastra in gesso rivestito standard ad alta densità,/images/knauf_prodotti/LastraGKBHD18mm.webp
"Lastra Kasaok 12,5 mm",Knauf,Lastra in gesso rivestito standard,/images/knauf_prodotti/LastraKasaok125mm.webp
"Lastra Kasaok Diamant 12,5 mm",Knauf,Lastra in gesso rivestito con fibre minerali per altissima resistenza meccanica,/images/knauf_prodotti/LastraKasaokDiamant125mm.webp
"Lastra Kasaok Idro 12,5 mm",Knauf,Lastra in gesso rivestito a ridotto assorbimento di umidità,/images/knauf_prodotti/LastraKasaokIdro125mm.webp
"Lastra Kasaok Igni 12,5 mm",Knauf,Lastra in gesso rivestito con fibre minerali per sistemi resistenti al fuoco,/images/knauf_prodotti/LastraKasaokIgni125mm.webp
"Lastra Safeboard 12,5 mm",Knauf,Lastra in gesso rivestito per la schermatura dai raggi X,/images/knauf_prodotti/LastraSafeboard125mm.webp
Lastra Thermoboard 10 mm,Knauf,Lastra in gesso rivestito ad elevata conducibilità termica per controsoffitti radianti,/images/knauf_prodotti/LastraThermoboard10mm.webp
Lastra Thermoboard Plus 10 mm,Knauf,Lastra in gesso rivestito ad elevata conducibilità termica per controsoffitti radianti additivata con grafite,/images/knauf_prodotti/LastraThermoboardPlus10mm.webp
"Lastra Vidiphonic 12,5 mm",Knauf,Lastra in gessofibra con elevata densità e potere fonoisolante,/images/knauf_prodotti/LastraVidiphonic125mm.webp
"Lastra Vidiphonic 12,5 mm",Knauf,Lastra in gessofibra con elevata densità e potere fonoisolante,/images/knauf_prodotti/LastraVidiphonic125mm.webp
Lastra Vidiwall 10 mm,Knauf,Lastra in gessofibra per la massima resistenza meccanica e isolamento acustico,/images/knauf_prodotti/LastraVidiwall10mm.webp
Lastra Vidiwall 10 mm,Knauf,Lastra in gessofibra per la massima resistenza meccanica e isolamento acustico,/images/knauf_prodotti/LastraVidiwall10mm.webp
Lastra Vidiwall 15 mm,Knauf,Lastra in gessofibra per la massima resistenza meccanica e isolamento acustico,/images/knauf_prodotti/LastraVidiwall15mm.webp
