name,brand,descrizione,categoria,image_url
Lucidatrice 150 mm 18V,ryobi,"Ideale per la pulitura e lucidatura di automobili Utilizzabile anche su barche, motociclette, pavimentazioni e mobili. Movimento oscillatorio dell'orbita Potente motore che fornisce fino a 4.600 orbite/min, con 2 velocità selezionabili",elettroutensili,/images/ryobi_prodotti/Lucidatrice150mm18V.webp
Mini-pistola colla a caldo 18V,ryobi,"Ideale per lavori di precisione, su differenti tipologie di materiali Super compatta e leggera, per un miglior controllo Solo 4 minuti di riscaldamento ed è pronta per l'utilizzo Compatibile con comuni cartucce da 7 mm di diametro",elettroutensili,/images/ryobi_prodotti/Mini-pistolacollaacaldo18V.webp
Levigatrice Rotorbitale 300W,ryobi,Potente motore 300W Movimento rotorbitale per una grande rimozione del materiale Impugnatura compatta per elevato comfort Azione ciclonica per la massima raccolta delle polveri,elettroutensili,/images/ryobi_prodotti/LevigatriceRotorbitale300W.webp
Sega Diritta 18V,ryobi,Ideale per il taglio veloce ed accurato di un'ampia varietà di materiali Nuovo motore più potente del modello elettrico ERS80VHG con l’ergonomia e libertà d’uso della batteria Nuovo sistema antivibrazioni per maggior comfort durante l’uso,elettroutensili,/images/ryobi_prodotti/SegaDiritta18V.webp
Pistola a caldo 18V,ryobi,Interruttore a due dita per maggiore controllo e facilità di utilizzo In soli 3 minuti la pistola a caldo è pronta per incollare Compatibile con qualsiasi stick da 11mm e 12mm La luce LED indica quando la Pistola è calda,elettroutensili,/images/ryobi_prodotti/Pistolaacaldo18V.webp
Sega Diritta 18V,ryobi,Lama universale per il taglio di un'ampia varietà di materiali Velocità variabile Tecnologia antivibrazioni Cambio lama semplice e veloce senza l'ausilio di utensili,elettroutensili,/images/ryobi_prodotti/SegaDiritta18V.webp
Sega multifunzione 1200W,ryobi,"Potente motore 1200W, velocità a vuoto 0-3000 corse/min Corsa della lama di 30mm Sostituzione rapida della lama senza l'ausilio di utensili Scarpa regolabile per una maggiore durata nel tempo",elettroutensili,/images/ryobi_prodotti/Segamultifunzione1200W.webp
Trapano Avvitatore a Percussione 18V,ryobi,"Trapano avvitatore a percussione ideale per forare (legno, metallo o muratura) e avvitare Mandrino a cricchetto autoserrante 13mm per una tenuta salda dell'inserto ed una maggiore durata nel tempo 2 velocità per il massimo controllo in ogni tipo di lavorazione",elettroutensili,/images/ryobi_prodotti/TrapanoAvvitatoreaPercussione18V.webp
Sega Dritta 18V Brushless,ryobi,"La sega dritta brushless è ideale per tagliare un'ampia varietà di materiali inclusi legno, metallo e plastica Il potente motore brushless offre una corsa della lama di 32 mm e una velocità a vuoto di 3200 giri/min , ideale per tagliare un'ampia varietà di materiali con estrema facilità",elettroutensili,/images/ryobi_prodotti/SegaDritta18VBrushless.webp
"Trapano a Percussione 18V (1x2,0Ah)",ryobi,"Trapano avvitatore a percussione ideale per forare (legno, metallo o muratura) e avvitare Mandrino a cricchetto autoserrante 13mm per una tenuta salda dell'inserto ed una maggiore durata nel tempo 2 velocità per il massimo controllo in ogni tipo di lavorazione",elettroutensili,/images/ryobi_prodotti/TrapanoaPercussione18V1x20Ah.webp
