name,brand,description,product_page_url,image_url
CARTA ABRASIVA PER LEVIGATRICI - CONFEZIONE 10 PZ.Senza fori,maurer,"senza fori per / for / para / für: YAMATO, Einhell, Festo, Makita, Metabo, Peugeot, Ryobi, Skil",https://maurer.ferritalia.it/dettaglio-prodotto/modello/2801/desc/,/images/maurer_prodotti/CARTAABRASIVAPERLEVIGATRICI-CONFEZIONE10PZSenzafori.webp
CARTA ABRASIVA PER LEVIGATRICI - CONFEZIONE 10 PZ.8 fori,maurer,"con 8 fori per / for / para / für: YAMATO, Einhell, Festo, Makita, Metabo, Peugeot, Ryobi, Skil,",https://maurer.ferritalia.it/dettaglio-prodotto/modello/2802/desc/,/images/maurer_prodotti/CARTAABRASIVAPERLEVIGATRICI-CONFEZIONE10PZ8fori.webp
CARTA ABRASIVA PER LEVIGATRICI - CONFEZIONE 10 PZ.10 fori,maurer,"con 10 fori per / for / para / für: YAMATO, Bosch, Atlas Copco, Black&Decker, Casals, Einhell, Elu, Hitachi, Kress, Makita, Metabo",https://maurer.ferritalia.it/dettaglio-prodotto/modello/2805/desc/,/images/maurer_prodotti/CARTAABRASIVAPERLEVIGATRICI-CONFEZIONE10PZ10fori.webp
DISCHI PER LEVIGATRICI A DELTA - CONFEZIONE 10 PZ.con velcro,maurer,"senza fori con Velcro per / for / para / fur: Ryobi, YAMATO",https://maurer.ferritalia.it/dettaglio-prodotto/modello/0700/desc/,/images/maurer_prodotti/DISCHIPERLEVIGATRICIADELTA-CONFEZIONE10PZconvelcro.webp
DISCHI PER LEVIGATRICI A DELTA - CONFEZIONE 10 PZ.5 fori con velcro,maurer,"con 5 fori con Velcro per / for / para / fur: Ryobi, YAMATO",https://maurer.ferritalia.it/dettaglio-prodotto/modello/2809/desc/,/images/maurer_prodotti/DISCHIPERLEVIGATRICIADELTA-CONFEZIONE10PZ5foriconvelcro.webp
DISCHI PER LEVIGATRICI ROTORBITALI - CONFEZIONE 10 PZ.,maurer,"con 8 fori con Velcro per / for / para / fur: YAMATO, Dunker, Bosch, Aeg, Atlas Copco, Black&Decker, Dewalt, Einhell, Elu, Festo, Fein. Hitachi, Kress,",https://maurer.ferritalia.it/dettaglio-prodotto/modello/0701/desc/,/images/maurer_prodotti/DISCHIPERLEVIGATRICIROTORBITALI-CONFEZIONE10PZ.webp
"NASTRI TELA ABRASIVA CORINDONE - CONFEZIONE 3 PZ.Tipo YAMATO, AEG, Black & Deck",maurer,"per / for / para / für: YAMATO, AEG, Black & Decker, Bosch, Casals, De Walt, Einhell, Hitachi, Holz-her, Makita, Metabo, Porter-Cable, RYOBI, Stanley",https://maurer.ferritalia.it/dettaglio-prodotto/modello/0919/desc/,/images/maurer_prodotti/NASTRITELAABRASIVACORINDONE-CONFEZIONE3PZTipoYAMATOAEGBlackDeck.webp
"NASTRI TELA ABRASIVA CORINDONE - CONFEZIONE 3 PZ.Tipo AEG, RYOBI",maurer,"per / for / para / für: AEG, De Walt, Elu, Haffner, RYOBI",https://maurer.ferritalia.it/dettaglio-prodotto/modello/0530/desc/,/images/maurer_prodotti/NASTRITELAABRASIVACORINDONE-CONFEZIONE3PZTipoAEGRYOBI.webp
"NASTRI TELA ABRASIVA CORINDONE - CONFEZIONE 3 PZ.Tipo Hitachi,  Makita, RYOBI,",maurer,"per / for / para / für: Hitachi, Kango, Makita, Lyon Flex, Porter-Cable, RYOBI, Stanley, Wolf",https://maurer.ferritalia.it/dettaglio-prodotto/modello/0531/desc/,/images/maurer_prodotti/NASTRITELAABRASIVACORINDONE-CONFEZIONE3PZTipoHitachiMakitaRYOBI.webp
NASTRI TELA ABRASIVA CORINDONE - CONFEZIONE 3 PZ.Tipo Bosch,maurer,per / for / para / für: Bosch,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0532/desc/,/images/maurer_prodotti/NASTRITELAABRASIVACORINDONE-CONFEZIONE3PZTipoBosch.webp
