name,marca,descrizione,categoria,image_url
Rotore R7-2.5 con perno,imer,Rotore R7-2.5 con perno,,/images/imer_products/Rotore_R7-2.5_con_perno.webp
Statore 2L-6. Montaggio abbinato a 3224334 strettore per Statore 2l6,imer,Statore 2L-6. Montaggio abbinato a 3224334 strettore per Statore 2l6,,/images/imer_products/Statore_2L-6._Montaggio_abbinato_a_3224334_strettore_per_Statore_2l6.webp
Rotore 2L-6,imer,Rotore 2L-6,,/images/imer_products/Rotore_2L-6.webp
Statore 60.12/2L74 CLAMP,imer,Statore 60.12/2L74 CLAMP,,/images/imer_products/Statore_60.12_2L74_CLAMP.webp
Rotore 60.12/2L74,imer,Rotore 60.12/2L74,,/images/imer_products/Rotore_60.12_2L74.webp
Statore IM 25L CLAMP,imer,Statore IM 25L CLAMP,,/images/imer_products/Statore_IM_25L_CLAMP.webp
Rotore IM 25L,imer,Rotore IM 25L,,/images/imer_products/Rotore_IM_25L.webp
Statore 1.5 L7 CLAMP,imer,Statore 1.5 L7 CLAMP,,/images/imer_products/Statore_1.5_L7_CLAMP.webp
Rotore 1.5 L7,imer,Rotore 1.5 L7,,/images/imer_products/Rotore_1.5_L7.webp
Miscelatore standard,imer,Miscelatore standard,,/images/imer_products/Miscelatore_standard.webp
Miscelatore per materiali alleggeriti,imer,Miscelatore per materiali alleggeriti,,/images/imer_products/Miscelatore_per_materiali_alleggeriti.webp
Miscelatore per materiali autolivellanti,imer,Miscelatore per materiali autolivellanti,,/images/imer_products/Miscelatore_per_materiali_autolivellanti.webp
Turbomiscelatore per statori serie “D”. Uscita collettore Ø25M e Ø35M,imer,Turbomiscelatore per statori serie “D”. Uscita collettore Ø25M e Ø35M,,/images/imer_products/Turbomiscelatore_per_statori_serie_“D”._Uscita_collettore_Ø25M_e_Ø35M.webp
Turbomiscelatore per statori serie “R” con misuratore di pressione incluso. Uscita collettore Ø25M e Ø35M,imer,Turbomiscelatore per statori serie “R” con misuratore di pressione incluso. Uscita collettore Ø25M e Ø35M,,/images/imer_products/Turbomiscelatore_per_statori_serie_“R”_con_misuratore_di_pressione_incluso._Uscita_collettore_Ø25M_e_Ø35M.webp
Lancia per premiscelati / tradizionali con deflettore Ø 14,imer,Lancia per premiscelati / tradizionali con deflettore Ø 14,,/images/imer_products/Lancia_per_premiscelati___tradizionali_con_deflettore_Ø_14.webp
"Lancia allungata DN25 1,43 m 1107577 Lancia per intonaci tradizionali/premiscelati Ø 35M",imer,"Lancia allungata DN25 1,43 m 1107577 Lancia per intonaci tradizionali/premiscelati Ø 35M",,"/images/imer_products/Lancia_allungata_DN25_1,43_m_1107577_Lancia_per_intonaci_tradizionali_premiscelati_Ø_35M.webp"
Lancia spruzzatrice Ø 25F con valvola antispandimento e regolatore flusso aria,imer,Lancia spruzzatrice Ø 25F con valvola antispandimento e regolatore flusso aria,,/images/imer_products/Lancia_spruzzatrice_Ø_25F_con_valvola_antispandimento_e_regolatore_flusso_aria.webp
Lancia per intonaci tradizionali/premiscelati Ø 35M,imer,Lancia per intonaci tradizionali/premiscelati Ø 35M,,/images/imer_products/Lancia_per_intonaci_tradizionali_premiscelati_Ø_35M.webp
Pistola DN 35 F,imer,Pistola DN 35 F,,/images/imer_products/Pistola_DN_35_F.webp
"Lancia per rasanti / fughe / iniezioni senza deflettori, con regolatore di flusso aria e valvola a sfera antispandimento",imer,"Lancia per rasanti / fughe / iniezioni senza deflettori, con regolatore di flusso aria e valvola a sfera antispandimento",,"/images/imer_products/Lancia_per_rasanti___fughe___iniezioni_senza_deflettori,_con_regolatore_di_flusso_aria_e_valvola_a_sfera_antispandimento.webp"
Kit deflettori 5-6-8-12-16 acciaio inox temprato,imer,Kit deflettori 5-6-8-12-16 acciaio inox temprato,,/images/imer_products/Kit_deflettori_5-6-8-12-16_acciaio_inox_temprato.webp
"Kit 3 deflettori Ø 5 acciaio temprato per pittura, rasanti, fughe",imer,"Kit 3 deflettori Ø 5 acciaio temprato per pittura, rasanti, fughe",,"/images/imer_products/Kit_3_deflettori_Ø_5_acciaio_temprato_per_pittura,_rasanti,_fughe.webp"
